Index,English_Discription,Tag
53,"Set 15 w 2 Buns (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",bun
53,"Set 15 w 2 Buns (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",chinese
54,"Set 15 w Rice (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",beef
54,"Set 15 w Rice (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",fish
54,"Set 15 w Rice (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",rice
54,"Set 15 w Rice (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",chinese
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",spicy
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",sour
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",chicken
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",bun
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",chinese
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",spicy
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",sour
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",chicken
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",bun
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",chinese
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",spicy
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",sour
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",chicken
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",rice
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",chinese
58,"Set 17 w 1 Bun (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",beef
58,"Set 17 w 1 Bun (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",pork
58,"Set 17 w 1 Bun (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",chinese
59,"Set 17 w 2 Buns (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",beef
59,"Set 17 w 2 Buns (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",pork
59,"Set 17 w 2 Buns (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",chinese
60,"Set 18 w 2 Buns (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",chicken
60,"Set 18 w 2 Buns (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",pork
60,"Set 18 w 2 Buns (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",bun
60,"Set 18 w 2 Buns (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",chinese
61,"Set 18 w Rice (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",chicken
61,"Set 18 w Rice (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",pork
61,"Set 18 w Rice (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",rice
61,"Set 18 w Rice (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",chinese
62,"Set 19 w 1 Bun (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",beef
62,"Set 19 w 1 Bun (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",bun
62,"Set 19 w 1 Bun (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",chinese
63,"Set 19 w Rice (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",beef
63,"Set 19 w Rice (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",rice
63,"Set 19 w Rice (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",chinese
64,"Set 2 w 1 Bun (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",pork
64,"Set 2 w 1 Bun (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",chinese
65,"Set 2 w 2 Buns (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",pork
65,"Set 2 w 2 Buns (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",chinese
66,"Set 2 w Rice (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",pork
66,"Set 2 w Rice (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",chinese
67,"Set 20 w 1 Bun (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",pork
67,"Set 20 w 1 Bun (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",bun
67,"Set 20 w 1 Bun (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",chinese
68,"Set 20 w 2 Buns (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",pork
68,"Set 20 w 2 Buns (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",bun
68,"Set 20 w 2 Buns (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",chinese
69,"Set 21 w 2 Buns (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",pork
69,"Set 21 w 2 Buns (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",chinese
70,"Set 21 w Rice (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",pork
70,"Set 21 w Rice (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",chinese
71,"Set 22 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",pork
71,"Set 22 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",bun
